label,name,artist
0,...Ready For It?,Taylor Swift
0,Life Changes,Thomas Rhett
0,24K Magic,Bruno Mars
0,Galway Girl,Ed Sheeran
0,Photograph,Ed Sheeran
0,Havana,Camila Cabello
0,When I Was Your Man,Bruno Mars
0,Gonna Fly Now,Bill Conti
0,Don't Wanna Know (feat. Kendrick Lamar),Maroon 5
0,Thinking out Loud,Ed Sheeran
0,Everybody Talks,Neon Trees
0,We Are Never Ever Getting Back Together,Taylor Swift
0,Bad Blood,Taylor Swift
0,Hall of Fame (feat. will.i.am),The Script
0,Payphone,Maroon 5
0,Sugar,Maroon 5
0,Stuck Like Glue,Sugarland
0,That's What I Like,Bruno Mars
0,Steal My Girl,One Direction
0,I'm the One,DJ Khaled
0,Wildest Dreams,Taylor Swift
0,Young Dumb & Broke,Khalid
0,Unwritten,Natasha Bedingfield
0,Ignition - Remix,R. Kelly
0,Free Fallin',Tom Petty
0,Brown Eyed Girl,Van Morrison
0,It Girl,Jason Derulo
0,"Hey, Soul Sister",Train
0,Feel It Still,Portugal. The Man
0,Closer,The Chainsmokers
0,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake
0,Kiss Me Thru The Phone,Soulja Boy
0,Uptown Funk (feat. Bruno Mars),Mark Ronson
0,Blank Space,Taylor Swift
0,Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5
0,Roar,Katy Perry
0,Ymca,Village People
0,You Belong With Me,Taylor Swift
0,All These Things That I've Done,The Killers
0,I Knew You Were Trouble.,Taylor Swift
0,Cake By The Ocean,DNCE
0,Call Me Maybe,Carly Rae Jepsen
0,22,Taylor Swift
0,California Gurls,Katy Perry
0,Welcome To New York,Taylor Swift
0,Our Song,Taylor Swift
0,Love Story,Taylor Swift
0,Hey Stephen,Taylor Swift
0,Style,Taylor Swift
0,Shake It Off,Taylor Swift
0,Mean,Taylor Swift
0,Gorgeous,Taylor Swift
0,Teardrops On My Guitar - Radio Single Remix,Taylor Swift
0,All of Me,John Legend
0,Let Her Go,Passenger
0,Stay With Me,Sam Smith
0,The A Team,Ed Sheeran
0,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled
0,Mirrors,Justin Timberlake
0,Firework,Katy Perry
0,Perfect,Ed Sheeran
0,What Do You Mean?,Justin Bieber
0,Sorry Not Sorry,Demi Lovato
0,Stronger (What Doesn't Kill You),Kelly Clarkson
0,In Case You Didn't Know,Brett Young
0,Singles You Up,Jordan Davis
0,Craving You,Thomas Rhett
0,All On Me,Devin Dawson
0,Light It Up,Luke Bryan
0,Unforgettable,Thomas Rhett
0,I'll Name the Dogs,Blake Shelton
0,Greatest Love Story,LANCO
0,You Broke Up with Me,Walker Hayes
0,Kiss Somebody,Morgan Evans
0,Like I Loved You,Brett Young
0,The Long Way,Brett Eldredge
0,Meant to Be (feat. Florida Georgia Line),Bebe Rexha
0,Getting Over You,Jackie Lee
0,Marry Me,Thomas Rhett
0,What Ifs (feat. Lauren Alaina),Kane Brown
0,Do I Make You Wanna,Billy Currington
0,Happens Like That,Granger Smith
0,We Were That Song,Brett Kissel
0,Down,Jay Sean
0,Hey Ya!,Outkast
0,Never Forget You,Zara Larsson
0,I Took A Pill In Ibiza - Seeb Remix,Mike Posner
0,Wrecking Ball,Miley Cyrus
0,Shower,Becky G
0,It Ain’t Me (with Selena Gomez),Kygo
0,Trumpets,Jason Derulo
0,Coming Home,Diddy - Dirty Money
0,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit
0,Baby,Justin Bieber
0,Umbrella,Rihanna
0,Replay,Iyaz
0,Dynamite,Taio Cruz
0,I Gotta Feeling,Black Eyed Peas
0,Some Nights,fun.
0,Escape (The Pina Colada Song),Rupert Holmes
0,Ain't No Mountain High Enough,Marvin Gaye
0,Brighter Than The Sun,Colbie Caillat
0,Sweet Caroline - Single Version,Neil Diamond
0,Love Shack,The B-52's
0,Walking On Sunshine,Katrina & The Waves
0,Riptide,Vance Joy
0,Ho Hey,The Lumineers
0,Don't Stop Believin',Journey
0,All Star,Smash Mouth
0,Single Ladies (Put a Ring on It),Beyoncé
0,Ridin' Solo,Jason Derulo
0,What Makes You Beautiful,One Direction
0,Call Me Maybe,Carly Rae Jepsen
0,Sweet Home Alabama,Lynyrd Skynyrd
0,Livin' On A Prayer,Bon Jovi
0,Have You Ever Seen The Rain,Creedence Clearwater Revival
0,September,"Earth, Wind & Fire"
0,Ice Ice Baby,Vanilla Ice
0,Say Something,A Great Big World
0,Life is a Highway,Rascal Flatts
0,Just the Way You Are,Bruno Mars
0,Jack & Diane,John Mellencamp
0,Free Fallin',Tom Petty
0,Home,Phillip Phillips
0,Chicken Fried,Zac Brown Band
0,Love Story,Taylor Swift
0,Wagon Wheel,Darius Rucker
0,Take on Me,a-ha
0,Timber (feat. Ke$ha),Pitbull
0,Song of the South,Alabama
0,Dixieland Delight - Single Edit,Alabama
0,"Hey, Soul Sister",Train
0,DJ Got Us Fallin' In Love (feat. Pitbull),Usher
0,Girl on Fire,Alicia Keys
0,Count on Me,Bruno Mars
0,Marry You,Bruno Mars
0,Locked out of Heaven,Bruno Mars
0,Versace on the Floor,Bruno Mars
0,Grenade,Bruno Mars
0,The Lazy Song,Bruno Mars
0,Riptide,Vance Joy
0,Say You Won't Let Go,James Arthur
0,I'm Yours,Jason Mraz
0,Let Me Take You Out,Bryan J
0,Replay,Iyaz
0,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),T-Pain
0,Yeah! (feat. Lil Jon & Ludacris),Usher
0,Down,Jay Sean
0,Party In The U.S.A.,Miley Cyrus
0,Ridin' Solo,Jason Derulo
0,Forever,Chris Brown
0,Just Dance,Lady Gaga
0,TiK ToK,Kesha
0,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake
0,My House,Flo Rida
0,"I Am A Man Of Constant Sorrow - From “O Brother, Where Art Thou” Soundtrack / Radio Station Version",The Soggy Bottom Boys
0,"I'll Fly Away - From “O Brother, Where Art Thou” Soundtrack",Gillian Welch
0,Shut Up and Dance,WALK THE MOON
0,It's A Great Day To Be Alive,Travis Tritt
0,Don't Stop Believin',Journey
0,I Want You Back,The Jackson 5
0,Piano Man,Billy Joel
0,Sweet Home Alabama,Lynyrd Skynyrd
0,Sunday Candy,Donnie Trumpet & The Social Experiment
0,I Need A Dollar,Aloe Blacc
0,This Is What You Came For (feat. Rihanna),Calvin Harris
0,California Girls - Remix/Remastered 2001,The Beach Boys
0,Elvira,The Oak Ridge Boys
0,Jai Ho,A.R. Rahman
0,Wagon Wheel,Old Crow Medicine Show
0,My Love (feat. T.I.),Justin Timberlake
0,Love So Soft,Kelly Clarkson
0,Just To See You Smile,Tim McGraw
0,Fire Burning,Sean Kingston
0,Every Breath You Take,The Police
0,Shout,The Isley Brothers
0,If I Die Young,The Band Perry
0,Eenie Meenie,Sean Kingston
0,Boom Boom Pow,Black Eyed Peas
0,Waiting On the World to Change,John Mayer
0,Send Me on My Way,Rusted Root
0,Halo,Beyoncé
0,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN
0,The A Team,Ed Sheeran
0,Classic,MKTO
0,We Are Young (feat. Janelle Monáe),fun.
0,Glad You Came,The Wanted
0,Titanium (feat. Sia),David Guetta
0,Live Your Life - Radio Edit,Headhunterz
0,rockstar,Post Malone
0,Nothin' on You (feat. Bruno Mars),B.o.B
0,Stay With Me,Sam Smith
0,Beauty And A Beat,Justin Bieber
0,Feel This Moment (feat. Christina Aguilera),Pitbull
0,Just Give Me a Reason (feat. Nate Ruess),P!nk
0,Empire State of Mind (Part II) Broken Down,Alicia Keys
0,A Thousand Miles,Vanessa Carlton
0,Drift Away,Dobie Gray
0,Summer Of '69,Bryan Adams
0,Jessie's Girl,Rick Springfield
0,Take It All Back 2.0,Judah & the Lion
0,Chasing Cars,Snow Patrol
0,Not Over You,Gavin DeGraw
0,How to Save a Life,The Fray
0,Hey There Delilah,Plain White T's
0,She Will Be Loved,Maroon 5
0,Keep Your Head Up,Andy Grammer
0,Safe And Sound,Capital Cities
0,Manic Monday,The Bangles
0,Apologize,OneRepublic
0,Africa,TOTO
0,Say Hey (I Love You),Michael Franti & Spearhead
0,What Lovers Do (feat. SZA),Maroon 5
0,Paris,The Chainsmokers
0,Love Me Now,John Legend
0,Love Me Harder,Ariana Grande
0,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding
0,As Long As You Love Me,Justin Bieber
0,Drag Me Down,One Direction
0,Friends (with BloodPop®),Justin Bieber
0,Love Yourself,Justin Bieber
0,Sorry,Justin Bieber
0,Purpose,Justin Bieber
0,Get Used To It,Justin Bieber
0,Heartbreaker,Justin Bieber
0,Somebody To Love,Justin Bieber
0,Home To Mama,Justin Bieber
0,2U,David Guetta
0,Despacito (Featuring Daddy Yankee),Luis Fonsi
0,Boyfriend,Justin Bieber
0,Company,Justin Bieber
0,Where Are Ü Now,Skrillex
0,Purpose,Justin Bieber
0,The Feeling,Justin Bieber
0,Cold Water (feat. Justin Bieber & MØ),Major Lazer
0,No Pressure,Justin Bieber
0,Never Say Never,Justin Bieber
0,Life Is Worth Living,Justin Bieber
0,Whatcha Say,Jason Derulo
0,Hot N Cold,Katy Perry
0,Fireflies,Owl City
0,Break Your Heart,Taio Cruz
0,Beautiful Girls,Sean Kingston
0,Stereo Hearts (feat. Adam Levine),Gym Class Heroes
0,Mark My Words,Justin Bieber
0,Payphone - Edit,Maroon 5
0,Teenage Dream,Katy Perry
