danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.667,0.83,0,-5.715,1,0.0749,0.0123,0.0,0.191,0.701,113.03,audio_features,6JV2JOEocMgcZxYSZelKcc,spotify:track:6JV2JOEocMgcZxYSZelKcc,https://api.spotify.com/v1/tracks/6JV2JOEocMgcZxYSZelKcc,https://api.spotify.com/v1/audio-analysis/6JV2JOEocMgcZxYSZelKcc,236002,4
0.647,0.822,5,-4.662,0,0.183,0.219,0.0,0.0908,0.962,160.019,audio_features,60nZcImufyMA1MKQY3dcCH,spotify:track:60nZcImufyMA1MKQY3dcCH,https://api.spotify.com/v1/tracks/60nZcImufyMA1MKQY3dcCH,https://api.spotify.com/v1/audio-analysis/60nZcImufyMA1MKQY3dcCH,232720,4
0.62,0.832,10,-4.848,1,0.036,0.332,0.0,0.104,0.481,144.926,audio_features,6SKwQghsR8AISlxhcwyA9R,spotify:track:6SKwQghsR8AISlxhcwyA9R,https://api.spotify.com/v1/tracks/6SKwQghsR8AISlxhcwyA9R,https://api.spotify.com/v1/audio-analysis/6SKwQghsR8AISlxhcwyA9R,230120,4
0.448,0.838,4,-5.257,0,0.0557,0.21,0.000131,0.131,0.254,139.863,audio_features,45S5WTQEGOB1VHr1Q4FuPl,spotify:track:45S5WTQEGOB1VHr1Q4FuPl,https://api.spotify.com/v1/tracks/45S5WTQEGOB1VHr1Q4FuPl,https://api.spotify.com/v1/audio-analysis/45S5WTQEGOB1VHr1Q4FuPl,208907,4
0.673,0.886,1,-4.44,0,0.0431,0.185,0.0,0.0826,0.795,97.012,audio_features,4HlFJV71xXKIGcU3kRyttv,spotify:track:4HlFJV71xXKIGcU3kRyttv,https://api.spotify.com/v1/tracks/4HlFJV71xXKIGcU3kRyttv,https://api.spotify.com/v1/audio-analysis/4HlFJV71xXKIGcU3kRyttv,216773,4
0.686,0.457,11,-8.322,1,0.0468,0.595,0.0,0.105,0.718,150.953,audio_features,3S0OXQeoh0w6AY8WQVckRW,spotify:track:3S0OXQeoh0w6AY8WQVckRW,https://api.spotify.com/v1/tracks/3S0OXQeoh0w6AY8WQVckRW,https://api.spotify.com/v1/audio-analysis/3S0OXQeoh0w6AY8WQVckRW,242187,4
0.731,0.626,11,-6.919,1,0.0805,0.125,0.0,0.183,0.862,82.488,audio_features,4CbrNGvwVjneG8Nk9YQqMR,spotify:track:4CbrNGvwVjneG8Nk9YQqMR,https://api.spotify.com/v1/tracks/4CbrNGvwVjneG8Nk9YQqMR,https://api.spotify.com/v1/audio-analysis/4CbrNGvwVjneG8Nk9YQqMR,173640,4
0.512,0.662,3,-6.797,1,0.0439,0.0275,0.0,0.118,0.472,180.114,audio_features,3DamFFqW32WihKkTVlwTYQ,spotify:track:3DamFFqW32WihKkTVlwTYQ,https://api.spotify.com/v1/tracks/3DamFFqW32WihKkTVlwTYQ,https://api.spotify.com/v1/audio-analysis/3DamFFqW32WihKkTVlwTYQ,228347,4
0.774,0.753,4,-5.446,0,0.0517,0.152,0.0,0.0371,0.896,119.002,audio_features,76hfruVvmfQbw0eYn1nmeC,spotify:track:76hfruVvmfQbw0eYn1nmeC,https://api.spotify.com/v1/tracks/76hfruVvmfQbw0eYn1nmeC,https://api.spotify.com/v1/audio-analysis/76hfruVvmfQbw0eYn1nmeC,219147,4
0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,audio_features,5nujrmhLynf4yMoMtj8AQF,spotify:track:5nujrmhLynf4yMoMtj8AQF,https://api.spotify.com/v1/tracks/5nujrmhLynf4yMoMtj8AQF,https://api.spotify.com/v1/audio-analysis/5nujrmhLynf4yMoMtj8AQF,203064,4
0.709,0.739,9,-5.59,1,0.0569,0.0315,0.0,0.0381,0.613,123.007,audio_features,1rfWIFXx5IVEpUtZJNGRCy,spotify:track:1rfWIFXx5IVEpUtZJNGRCy,https://api.spotify.com/v1/tracks/1rfWIFXx5IVEpUtZJNGRCy,https://api.spotify.com/v1/audio-analysis/1rfWIFXx5IVEpUtZJNGRCy,170732,4
0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,audio_features,0v1x6rN6JHRapa03JElljE,spotify:track:0v1x6rN6JHRapa03JElljE,https://api.spotify.com/v1/tracks/0v1x6rN6JHRapa03JElljE,https://api.spotify.com/v1/audio-analysis/0v1x6rN6JHRapa03JElljE,199054,4
0.807,0.887,9,-3.726,1,0.0503,0.0573,2.87e-06,0.124,0.961,134.052,audio_features,5jE48hhRu8E6zBDPRSkEq7,spotify:track:5jE48hhRu8E6zBDPRSkEq7,https://api.spotify.com/v1/tracks/5jE48hhRu8E6zBDPRSkEq7,https://api.spotify.com/v1/audio-analysis/5jE48hhRu8E6zBDPRSkEq7,187920,4
0.56,0.872,3,-4.269,1,0.14,0.0239,6.98e-06,0.371,0.682,126.05,audio_features,1kPpge9JDLpcj15qgrPbYX,spotify:track:1kPpge9JDLpcj15qgrPbYX,https://api.spotify.com/v1/tracks/1kPpge9JDLpcj15qgrPbYX,https://api.spotify.com/v1/audio-analysis/1kPpge9JDLpcj15qgrPbYX,205933,4
