length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo
236001,0.667,0.0123,0.83,0.0,0.191,0.701,-5.715,0.0749,113.03
232720,0.647,0.219,0.822,0.0,0.0908,0.962,-4.662,0.183,160.019
230120,0.62,0.332,0.832,0.0,0.104,0.481,-4.848,0.036,144.926
208906,0.448,0.21,0.838,0.000131,0.131,0.254,-5.257,0.0557,139.863
216773,0.673,0.185,0.886,0.0,0.0826,0.795,-4.44,0.0431,97.012
242186,0.686,0.595,0.457,0.0,0.105,0.718,-8.322,0.0468,150.953
228346,0.512,0.0275,0.662,0.0,0.118,0.472,-6.797,0.0439,180.114
219146,0.774,0.152,0.753,0.0,0.0371,0.896,-5.446,0.0517,119.002
203064,0.702,0.00883,0.825,0.0,0.0674,0.915,-3.787,0.0601,102.977
172380,0.656,0.0529,0.832,0.0,0.4,0.742,-5.386,0.294,125.915
199053,0.746,0.0112,0.765,0.0,0.0936,0.737,-4.41,0.0993,114.044
187920,0.807,0.0573,0.887,2.87e-06,0.124,0.961,-3.726,0.0503,134.052
205933,0.56,0.0239,0.872,6.98e-06,0.371,0.682,-4.269,0.14,126.05
221946,0.562,0.046,0.939,0.0,0.112,0.684,-4.282,0.0475,116.044
225983,0.818,0.034,0.803,0.0,0.153,0.632,-4.282,0.0797,106.97
174000,0.548,0.122,0.816,0.0,0.335,0.557,-4.209,0.0465,95.39
191466,0.691,0.487,0.823,0.0,0.134,0.87,-4.197,0.0623,123.935
235493,0.748,0.0591,0.788,0.0,0.0863,0.884,-7.055,0.0334,120.076
180565,0.782,0.166,0.685,1.18e-05,0.16,0.603,-6.237,0.0309,118.016
171374,0.767,0.234,0.481,0.0,0.269,0.761,-8.52,0.0803,150.076
223053,0.636,0.0294,0.831,3.85e-06,0.272,0.668,-3.945,0.182,175.015
227840,0.837,0.103,0.515,0.0,0.233,0.769,-4.065,0.0793,129.001
199986,0.726,0.009,0.787,0.0,0.0596,0.888,-2.494,0.0737,124.99
175426,0.72,0.0384,0.791,0.0,0.157,0.756,-4.689,0.124,102.071
192586,0.426,0.0383,0.584,0.0,0.192,0.272,-5.293,0.296,193.438
177280,0.471,0.00301,0.924,0.0,0.313,0.725,-3.906,0.0586,154.961
237626,0.719,0.0372,0.671,8.21e-06,0.12,0.786,-6.279,0.0336,130.027
218013,0.56,0.00847,0.936,0.0,0.161,0.371,-5.835,0.0439,112.96
258613,0.409,0.000807,0.892,0.0,0.207,0.651,-4.373,0.0336,174.426
214320,0.482,0.0111,0.873,0.0,0.409,0.737,-3.145,0.0853,165.084
193400,0.783,0.0114,0.58,2.28e-06,0.108,0.66,-6.548,0.0408,120.021
231173,0.743,0.0188,0.752,0.0,0.287,0.545,-4.813,0.0414,110.015
154874,0.79,0.275,0.629,6.78e-05,0.174,0.64,-7.285,0.0428,107.025
216600,0.56,0.000722,0.959,0.000221,0.209,0.669,-2.433,0.102,163.983
239600,0.733,0.145,0.71,0.115,0.0956,0.965,-5.849,0.0292,127.975
200946,0.715,0.00351,0.872,3.84e-05,0.107,0.748,-3.835,0.0509,93.043
202066,0.652,0.00112,0.698,0.000115,0.0886,0.47,-4.667,0.042,96.021
225373,0.762,0.15,0.661,0.0,0.256,0.769,-6.075,0.0687,130.009
173640,0.731,0.125,0.626,0.0,0.183,0.862,-6.919,0.0805,82.488
204280,0.484,0.431,0.731,0.0,0.151,0.51,-6.694,0.0379,101.654
164640,0.769,0.66,0.479,0.0,0.0914,0.803,-5.339,0.0385,96.051
200720,0.714,0.0883,0.451,0.0,0.108,0.406,-8.268,0.0276,127.787
189933,0.674,0.0469,0.778,0.0,0.145,0.816,-5.367,0.0376,90.01
199080,0.578,0.00701,0.866,0.0,0.257,0.619,-3.804,0.0619,128.038
214125,0.805,0.111,0.627,0.0,0.745,0.653,-7.086,0.0638,119.978
245466,0.49,0.00218,0.885,0.0,0.0741,0.64,-4.121,0.0396,166.996
227395,0.713,0.0377,0.676,0.0,0.154,0.721,-5.483,0.027,99.048
169302,0.705,0.214,0.827,0.00084,0.121,0.715,-4.812,0.0286,111.963
200213,0.663,0.0542,0.857,0.0,0.144,0.931,-2.16,0.0544,126.039
204200,0.589,0.03,0.966,0.0,0.147,0.802,-4.106,0.0972,129.983
484146,0.574,0.234,0.512,0.0,0.0946,0.512,-6.664,0.0503,76.899
163143,0.729,0.0852,0.759,1.55e-05,0.0626,0.597,-5.779,0.0364,119.991
217306,0.627,0.563,0.703,0.0,0.0962,0.64,-4.884,0.236,81.897
166028,0.734,0.168,0.874,1.14e-05,0.0489,0.905,-3.158,0.0662,122.953
219200,0.647,0.0647,0.8,0.0,0.334,0.942,-5.384,0.165,160.078
193146,0.628,0.00957,0.676,2.65e-05,0.121,0.75,-5.911,0.0916,85.984
147746,0.656,0.25,0.767,0.0,0.114,0.871,-3.038,0.0396,163.834
211786,0.776,0.0343,0.875,0.0,0.314,0.849,-5.535,0.0575,111.988
227833,0.799,0.162,0.586,2.03e-06,0.193,0.549,-6.735,0.0377,120.97
192120,0.73,0.109,0.703,0.0,0.0657,0.595,-5.672,0.0369,138.113
169935,0.571,0.00209,0.957,1.5e-05,0.0425,0.892,-3.468,0.0633,149.946
226738,0.713,0.0435,0.802,0.00377,0.309,0.343,-7.055,0.0561,100.001
