acousticness,danceability,liveness,loudness,speechiness,label,x,y,name,artist
0.0665,0.615,0.155,-6.454,0.135,0,-1.0319684984850221,0.12252071882252405,...Ready For It?,Taylor Swift
0.1,0.687,0.0452,-4.37,0.0576,2,-3.1121312022015495,-0.015126606876202368,Hearts Like Ours,The Naked And Famous
0.034,0.818,0.153,-4.282,0.0797,2,-3.204572461078821,0.060288643630134885,Hang Me Up to Dry,Cold War Kids
0.0735,0.624,0.327,-3.374,0.1,2,-4.108788982397838,-0.01753354899343022,Dangerous (feat. Joywave),Big Data
0.607,0.614,0.0986,-10.48,0.0476,1,3.015041394427272,-0.23141208412412193,She Sells Sanctuary,The Cult
0.186,0.768,0.104,-4.323,0.0312,2,-3.155882130931042,-0.09565857764144284,Baltimore’s Fireflies,Woodkid
0.932,0.612,0.088,-8.648,0.0434,0,1.2003302669629123,-0.6420818838736593,8 Letters,Why Don't We
0.4,0.415,0.0674,-12.71,0.0368,1,5.234589612184501,0.06846277998128995,Indestructible,Disturbed
0.341,0.776,0.0978,-6.198,0.067,2,-1.2758625187291868,-0.16099307633109514,Nightcall,London Grammar
0.474,0.781,0.184,-6.061,0.0295,2,-1.406788969814507,-0.2941363007142377,Samson,Regina Spektor
0.00301,0.471,0.313,-3.906,0.0586,2,-3.579339631549774,0.06916889313150702,Back To The Shack,Weezer
0.00957,0.628,0.102,-5.911,0.0916,2,-1.576865438806904,0.14956659236553946,Sinking Man - The Walking Dead Soundtrack,Of Monsters and Men
0.0871,0.652,0.148,-6.114,0.181,2,-1.3709649227901817,0.0879944832695129,Left Hand Free,alt-J
0.0654,0.421,0.123,-4.343,0.0564,2,-3.1388521173575277,0.01185856379103088,Every Other Freckle,alt-J
0.0136,0.739,0.37,-4.828,0.0394,2,-2.6602064102710363,0.11757451312628923,Every Other Freckle - Daytrip Remix,alt-J
0.0591,0.748,0.0863,-7.055,0.0334,0,-0.4326658912429771,0.15724031514044381,These Girls - Acoustic,Why Don't We
0.329,0.702,0.0505,-4.764,0.0568,2,-2.7080298380764862,-0.22343748318176287,Set The Fire To The Third Bar,Snow Patrol
0.013,0.853,0.0944,-4.961,0.0406,2,-2.5273352411453556,0.10979906914952714,Trouble Is a Friend,Lenka
0.00433,0.536,0.114,-5.948,0.0347,2,-1.5393705865522966,0.15226277820314682,Bad Habit,The Kooks
0.0533,0.599,0.134,-4.267,0.0367,2,-3.216767628927189,0.028570355428892996,Parents' House,Milo Greene
0.0709,0.553,0.106,-7.417,0.0741,0,-0.06908969744808661,0.1561397505408364,Dirty Sexy Money (feat. Charli XCX & French Montana),David Guetta
0.199,0.799,0.165,-6.351,0.0421,0,-1.1300425230115327,-0.007125574603127749,IDGAF,Dua Lipa
0.00584,0.706,0.0822,-6.333,0.0399,0,-1.1559944866505332,0.1742087355122481,New Rules,Dua Lipa
0.0549,0.778,0.0724,-6.144,0.0473,2,-1.3430466750591745,0.11908921309751132,Skin to Bone,The Jungle Giants
0.212,0.623,0.0613,-13.333,0.0253,1,5.846486084940822,0.29341305272738394,Let It Be - Remastered 2009,The Beatles
0.185,0.491,0.406,-10.964,0.0376,1,3.478732333631281,0.22770607897906936,Born in the U.S.A.,Bruce Springsteen
0.0165,0.668,0.104,-4.736,0.0605,2,-2.7504976356288853,0.08863139284454226,Reflektor,Arcade Fire
0.217,0.675,0.086,-4.432,0.0436,2,-3.044768433604644,-0.12652001744788757,Rebellion (Lies),Arcade Fire
0.0417,0.801,0.0717,-5.115,0.0504,2,-2.3716881214219083,0.08476695137666308,Runaway,Kanye West
0.414,0.748,0.111,-5.599,0.0338,2,-1.8705529161318577,-0.262775911463134,Revolusion,Elliphant
0.0106,0.669,0.0968,-5.72,0.0682,2,-1.767877487994802,0.14053681139230104,This Is Halloween,Marilyn Manson
0.0185,0.758,0.0677,-3.781,0.112,2,-3.704998596161483,0.04398516256965589,Hero,Donkeyboy
0.00801,0.856,0.0344,-7.223,0.0824,0,-0.26799677183856313,0.2179678481335111,Sideways,EBEN
0.085,0.752,0.13,-5.421,0.0646,2,-2.063845754911037,0.058364863799269674,Say No to the World,LostAlone
0.0111,0.722,0.308,-4.477,0.0471,2,-3.0105849919686745,0.09849500117565071,Sinister Kid,The Black Keys
0.00487,0.554,0.354,-4.821,0.0418,2,-2.6660694776665577,0.11669186443941683,Luna,Bombay Bicycle Club
0.152,0.715,0.302,-6.488,0.132,0,-0.9953305316871823,0.053876373321328504,Sick Boy,The Chainsmokers
0.162,0.687,0.114,-4.44,0.0386,2,-3.0395302392028514,-0.06897436016994213,Shiver Shiver,WALK THE MOON
0.00156,0.557,0.118,-6.181,0.0405,2,-1.306953848478607,0.16731575463309847,Taro,alt-J
0.00454,0.622,0.0398,-6.798,0.0363,0,-0.6907521396352626,0.19061730317058126,lovely (with Khalid),Billie Eilish
0.152,0.774,0.0371,-5.446,0.0517,2,-2.035579919183395,-0.013042101284943214,This Head I Hold,Electric Guest
0.0114,0.783,0.108,-6.548,0.0408,0,-0.9416870148623452,0.18405340819564556,I Depend on You,Why Don't We
0.00215,0.658,0.0752,-6.561,0.0378,0,-0.9280112288123493,0.1859705754162528,Roll,EBEN
0.00446,0.791,0.163,-3.729,0.0569,2,-3.7581109705394478,0.06273007122611042,My Number,Foals
0.038,0.793,0.304,-4.807,0.0324,2,-2.680235831098199,0.08983540873298357,Safe and Sound - DiscoTech Remix,Capital Cities
0.111,0.668,0.329,-4.931,0.0303,2,-2.55205187152051,0.019272369441451016,Young Folks,Peter Bjorn and John
0.17,0.618,0.0822,-3.95,0.031,2,-3.5279279228749987,-0.1054719758167519,Crystalised,The xx
0.194,0.841,0.108,-7.347,0.0309,0,-0.1355200453916224,0.042343263593073714,Five More Minutes,Scotty McCreery
0.00245,0.588,0.118,-5.595,0.0402,2,-1.8924993271283004,0.1401807079715633,Civilization,Justice
0.0561,0.648,0.148,-5.414,0.165,2,-2.071565312813544,0.08538937427179588,Southern Sun,Boy & Bear
0.452,0.568,0.217,-3.987,0.0459,2,-3.4779068953969516,-0.3766662756071223,The Winter Soldier,Henry Jackman
0.079,0.794,0.227,-6.865,0.169,0,-0.6225879191646284,0.14310359693089275,One Way or Another (Teenage Kicks),One Direction
0.288,0.621,0.119,-6.941,0.0231,0,-0.5349387968916355,-0.079377082696485,Celebration,Kool & The Gang
0.922,0.422,0.132,-7.064,0.0322,0,-0.3809623943847198,-0.7121892658127228,Night Changes,One Direction
0.365,0.479,0.0963,-7.346,0.0688,0,-0.12565339380589496,-0.14393844600241934,Choose,Why Don't We
0.568,0.479,0.11,-6.517,0.0389,0,-0.9442506240206986,-0.3846009935575994,Tattoo (How 'Bout You),In Real Life
0.669,0.642,0.18,-9.918,0.0367,0,2.4560746116033076,-0.3127509211693496,Wake Me Up Before You Go-Go,Wham!
0.0533,0.599,0.134,-4.267,0.0367,2,-3.216767628927189,0.028570355428892996,Northern Lights,Thirty Seconds To Mars
0.234,0.574,0.0946,-6.664,0.0503,0,-0.8137237936163578,-0.041987647275836794,Hard 2 Face Reality,Poo Bear
0.139,0.638,0.0803,-4.968,0.0479,2,-2.5127018704158184,-0.025597965363436403,The Light Behind Your Eyes,My Chemical Romance
0.163,0.599,0.106,-6.312,0.0232,0,-1.1688388951815423,0.013491986429043335,Mama,Jonas Blue
0.59,0.845,0.0811,-8.118,0.0956,0,0.6530500137568099,-0.3159546647236873,Free,Why Don't We
0.0223,0.702,0.283,-6.917,0.265,0,-0.5728937849231439,0.20373285085227405,Thoughts,Kay Cook
0.046,0.562,0.112,-4.282,0.0475,2,-3.2017674530758278,0.033545187884607836,Young Volcanoes,Fall Out Boy
0.397,0.596,0.106,-7.294,0.0315,0,-0.17701840042313807,-0.17309214056723954,Timelapse,Zach Herron
0.0472,0.635,0.255,-3.588,0.0323,2,-3.8959921004258784,0.012793213871546241,Big Bad World,Kodaline
